year_film,year_ceremony,ceremony,category,nominee,film,winner
1972,1973,30,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joel Grey,Cabaret,True
1972,1973,30,Best Director - Motion Picture,Bob Fosse,Cabaret,False
1972,1973,30,Best Screenplay - Motion Picture,Jay Presson Allen,Cabaret,False
1972,1973,30,Best Original Song - Motion Picture,"Money, John Kander, Fred Ebb",Cabaret,False
1972,1973,30,Best Original Song - Motion Picture,"Mein Herr, John Kander, Fred Ebb",Cabaret,False
1972,1973,30,New Star Of The Year - Actress,Marisa Berenson,Cabaret,False
1958,1959,16,Best Performance by an Actress in a Supporting Role in any Motion Picture,Peggy Cass,Auntie Mame,False
1958,1959,16,New Star Of The Year - Actress,Joanna Barnes,Auntie Mame,False
1958,1959,16,Actress In A Leading Role - Musical Or Comedy,Rosalind Russell,Auntie Mame,True
1955,1956,13,Actress In A Leading Role - Musical Or Comedy,Jean Simmons,Guys and Dolls,True
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,Dustin Hoffman,Marathon Man,False
1976,1977,34,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marthe Keller,Marathon Man,False
1976,1977,34,Best Performance by an Actor in a Supporting Role in any Motion Picture,Laurence Olivier,Marathon Man,True
1976,1977,34,Best Director - Motion Picture,John Schlesinger,Marathon Man,False
1976,1977,34,Best Screenplay - Motion Picture,William Goldman,Marathon Man,False
2000,2001,58,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,Gladiator,False
2000,2001,58,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joaquin Phoenix,Gladiator,False
2000,2001,58,Best Director - Motion Picture,Ridley Scott,Gladiator,False
2000,2001,58,Best Original Score - Motion Picture,Lisa Gerrard,Gladiator,True
2000,2001,58,Best Original Score - Motion Picture,Hans Zimmer,Gladiator,True
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Karl Malden,Gypsy,False
1962,1963,20,Best Director - Motion Picture,Mervyn LeRoy,Gypsy,False
1962,1963,20,New Star Of The Year - Actor,Paul Wallace,Gypsy,False
1962,1963,20,Actress In A Leading Role - Musical Or Comedy,Rosalind Russell,Gypsy,True
1962,1963,20,Actress In A Leading Role - Musical Or Comedy,Natalie Wood,Gypsy,False
2000,2001,58,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Tracey Ullman,Small Time Crooks,False
1969,1970,27,New Star Of The Year - Actor,George Lazenby,On Her Majesty's Secret Service,False
1980,1981,38,Best Original Score - Motion Picture,Giorgio Moroder,American Gigolo,False
1980,1981,38,Best Original Song - Motion Picture,"Call Me, Giorgio Moroder, Debbie Harry, Blondie",American Gigolo,False
1968,1969,26,Best Director - Motion Picture,Franco Zeffirelli,Romeo and Juliet,False
1968,1969,26,Best Original Score - Motion Picture,Nino Rota,Romeo and Juliet,False
1968,1969,26,New Star Of The Year - Actress,Olivia Hussey,Romeo and Juliet,True
1968,1969,26,New Star Of The Year - Actor,Leonard Whiting,Romeo and Juliet,True
1968,1969,26,Foreign Film - English Language,"Italy, Franco Zeffirelli",Romeo and Juliet,True
1974,1975,32,Best Original Song - Motion Picture,"Benji's Theme (I Feel Love), Euel Box, Betty Box",Benji,True
1985,1986,43,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kathleen Turner,Prizzi's Honor,True
1985,1986,43,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Nicholson,Prizzi's Honor,True
1985,1986,43,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anjelica Huston,Prizzi's Honor,False
1985,1986,43,Best Director - Motion Picture,John Huston,Prizzi's Honor,True
1985,1986,43,Best Screenplay - Motion Picture,Richard Condon,Prizzi's Honor,False
1985,1986,43,Best Original Song - Motion Picture,"We Don't Need Another Hero (Thunderdome), Terry Britten, Graham Lyle",Mad Max Beyond Thunderdome,False
1991,1992,49,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Kline,Soapdish,False
1988,1989,46,Best Performance by an Actor in a Supporting Role in any Motion Picture,Neil Patrick Harris,Clara's Heart,False
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Jane Fonda,Coming Home,True
1978,1979,36,Best Performance by an Actor in a Motion Picture - Drama,Jon Voight,Coming Home,True
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bruce Dern,Coming Home,False
1978,1979,36,Best Director - Motion Picture,Hal Ashby,Coming Home,False
1978,1979,36,Best Screenplay - Motion Picture,Robert C. Jones,Coming Home,False
1971,1972,29,Best Original Score - Motion Picture,Isaac Hayes,Shaft,True
1971,1972,29,Best Original Song - Motion Picture,"Theme From Shaft, Isaac Hayes",Shaft,False
1971,1972,29,New Star Of The Year - Actor,Richard Roundtree,Shaft,False
1973,1974,31,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Serpico,True
1984,1985,42,Best Original Song - Motion Picture,"Footloose, Kenny Loggins, Dean Pitchford",Footloose,False
1959,1960,17,Best Performance by an Actress in a Motion Picture - Drama,Lee Remick,Anatomy of a Murder,False
1959,1960,17,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joseph Welch,Anatomy of a Murder,False
1959,1960,17,Best Director - Motion Picture,Otto Preminger,Anatomy of a Murder,False
1978,1979,36,Best Performance by an Actress in a Motion Picture - Drama,Geraldine Page,Interiors,False
1978,1979,36,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maureen Stapleton,Interiors,False
1978,1979,36,Best Director - Motion Picture,Woody Allen,Interiors,False
1978,1979,36,Best Screenplay - Motion Picture,Woody Allen,Interiors,False
2000,2001,58,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Brenda Blethyn,Saving Grace,False
1989,1990,47,Best Performance by an Actress in a Motion Picture - Drama,Sally Field,Steel Magnolias,False
1989,1990,47,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julia Roberts,Steel Magnolias,True
1965,1966,23,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Lee Marvin,Cat Ballou,True
1965,1966,23,Best Original Song - Motion Picture,"The Ballad Of Cat Ballou, Jerry Livingston, Mack David",Cat Ballou,False
1965,1966,23,New Star Of The Year - Actor,Tom Nardini,Cat Ballou,False
1965,1966,23,Actress In A Leading Role - Musical Or Comedy,Jane Fonda,Cat Ballou,False
2000,2001,58,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Renée Zellweger,Nurse Betty,True
2000,2001,58,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Hudson,Almost Famous,True
2000,2001,58,Best Performance by an Actress in a Supporting Role in any Motion Picture,Frances McDormand,Almost Famous,False
2000,2001,58,Best Screenplay - Motion Picture,Cameron Crowe,Almost Famous,False
1971,1972,29,New Star Of The Year - Actress,Delores Taylor,Billy Jack,False
2000,2001,58,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julie Walters,Billy Elliot,False
2000,2001,58,Best Original Score - Motion Picture,Ennio Morricone,Malèna,False
2000,2001,58,Best Performance by an Actor in a Motion Picture - Drama,Geoffrey Rush,Quills,False
2000,2001,58,Best Screenplay - Motion Picture,Douglas Wright,Quills,False
1987,1988,45,Best Performance by an Actor in a Motion Picture - Drama,Michael Douglas,Wall Street,True
1989,1990,47,Best Performance by an Actor in a Motion Picture - Drama,Tom Cruise,Born on the Fourth of July,True
1989,1990,47,Best Director - Motion Picture,Oliver Stone,Born on the Fourth of July,True
1989,1990,47,Best Screenplay - Motion Picture,"Oliver Stone, Ron Kovic",Born on the Fourth of July,True
1989,1990,47,Best Original Score - Motion Picture,John Williams,Born on the Fourth of July,False
2000,2001,58,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Juliette Binoche,Chocolat,False
2000,2001,58,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judi Dench,Chocolat,False
2000,2001,58,Best Original Score - Motion Picture,Rachel Portman,Chocolat,False
2000,2001,58,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mel Gibson,What Women Want,False
2000,2001,58,Best Performance by an Actor in a Motion Picture - Drama,Javier Bardem,Before Night Falls,False
2000,2001,58,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Cast Away,True
2000,2001,58,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sandra Bullock,Miss Congeniality,False
2000,2001,58,Best Original Song - Motion Picture,"""One In a Million"", Bosson",Miss Congeniality,False
2000,2001,58,Best Performance by an Actress in a Supporting Role in any Motion Picture,Catherine Zeta-Jones,Traffic,False
2000,2001,58,Best Performance by an Actor in a Supporting Role in any Motion Picture,Benicio del Toro,Traffic,True
2000,2001,58,Best Director - Motion Picture,Steven Soderbergh,Traffic,False
2000,2001,58,Best Screenplay - Motion Picture,Stephen Gaghan,Traffic,True
2000,2001,58,Best Performance by an Actor in a Supporting Role in any Motion Picture,Willem Dafoe,Shadow of the Vampire,False
1987,1988,45,Best Screenplay - Motion Picture,David Mamet,House of Games,False
1982,1983,40,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Carol Burnett,Annie,False
1982,1983,40,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Aileen Quinn,Annie,False
1982,1983,40,New Star Of The Year - Actress,Aileen Quinn,Annie,False
1956,1957,14,Best Performance by an Actor in a Motion Picture - Drama,Gary Cooper,Friendly Persuasion,False
1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marjorie Main,Friendly Persuasion,False
1956,1957,14,Promoting International Understanding,William Wyler,Friendly Persuasion,False
1956,1957,14,New Star Of The Year - Actor,Anthony Perkins,Friendly Persuasion,True
1987,1988,45,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Baby Boom,False
1987,1988,45,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Barfly,False
1987,1988,45,Best Original Song - Motion Picture,"Shakedown, Harold Faltermeyer, Keith Forsey, Bob Seger",Beverly Hills Cop II,False
1984,1985,42,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Eddie Murphy,Beverly Hills Cop,False
1987,1988,45,Best Original Score - Motion Picture,John Williams,Empire of the Sun,False
1987,1988,45,Best Director - Motion Picture,John Boorman,Hope and Glory,False
1987,1988,45,Best Screenplay - Motion Picture,John Boorman,Hope and Glory,False
1987,1988,45,Best Original Song - Motion Picture,"Nothing's Gonna Stop Us Now, Donald Markowitz, John DeNicola, Franke Previte",Mannequin,False
1990,1991,48,Best Screenplay - Motion Picture,Barry Levinson,Avalon,False
1990,1991,48,Best Original Score - Motion Picture,Randy Newman,Avalon,False
1963,1964,21,Best Performance by an Actor in a Motion Picture - Drama,Sidney Poitier,Lilies of the Field,True
1963,1964,21,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lilia Skala,Lilies of the Field,False
1963,1964,21,Promoting International Understanding,Ralph Nelson,Lilies of the Field,True
1960,1961,18,Best Performance by an Actress in a Motion Picture - Drama,Jean Simmons,Elmer Gantry,False
1960,1961,18,Best Performance by an Actor in a Motion Picture - Drama,Burt Lancaster,Elmer Gantry,True
1960,1961,18,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shirley Jones,Elmer Gantry,False
1960,1961,18,Best Director - Motion Picture,Richard Brooks,Elmer Gantry,False
1990,1991,48,Best Performance by an Actress in a Supporting Role in any Motion Picture,Winona Ryder,Mermaids,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Drama,Jeremy Irons,Reversal of Fortune,True
1990,1991,48,Best Director - Motion Picture,Barbet Schroeder,Reversal of Fortune,False
1990,1991,48,Best Screenplay - Motion Picture,Nicholas Kazan,Reversal of Fortune,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Renée Zellweger,Bridget Jones's Diary,False
1983,1984,41,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Scarface,False
1983,1984,41,Best Performance by an Actor in a Supporting Role in any Motion Picture,Steven Bauer,Scarface,False
1983,1984,41,Best Original Score - Motion Picture,Giorgio Moroder,Scarface,False
1962,1963,20,Best Performance by an Actress in a Motion Picture - Drama,Lee Remick,Days of Wine and Roses,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Jack Lemmon,Days of Wine and Roses,False
1962,1963,20,Best Director - Motion Picture,Blake Edwards,Days of Wine and Roses,False
1969,1970,27,Foreign Film - Foreign Language,"Italy, Federico Fellini",Fellini Satyricon,False
1979,1980,37,Best Performance by an Actress in a Motion Picture - Drama,Sally Field,Norma Rae,True
1979,1980,37,Best Screenplay - Motion Picture,Harriet Frank Jr.,Norma Rae,False
1970,1971,28,Best Performance by an Actress in a Motion Picture - Drama,Ali MacGraw,Love Story,True
1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,Ryan O'Neal,Love Story,False
1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Marley,Love Story,False
1970,1971,28,Best Director - Motion Picture,Arthur Hiller,Love Story,True
1970,1971,28,Best Screenplay - Motion Picture,Erich Segal,Love Story,True
1970,1971,28,Best Original Score - Motion Picture,Francis Lai,Love Story,True
2001,2002,59,Best Original Score - Motion Picture,Hans Zimmer,Pearl Harbor,False
2001,2002,59,Best Original Song - Motion Picture,"""There You'll Be"", Diane Warren",Pearl Harbor,False
1991,1992,49,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Billy Crystal,City Slickers,False
1991,1992,49,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jack Palance,City Slickers,True
1988,1989,46,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman,Mississippi Burning,False
1988,1989,46,Best Director - Motion Picture,Alan Parker,Mississippi Burning,False
1988,1989,46,Best Screenplay - Motion Picture,Chris Gerolmo,Mississippi Burning,False
1959,1960,17,New Star Of The Year - Actress,Angie Dickinson,Rio Bravo,True
1982,1983,40,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dustin Hoffman,Tootsie,True
1982,1983,40,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jessica Lange,Tootsie,True
1982,1983,40,Best Director - Motion Picture,Sydney Pollack,Tootsie,False
